nombre;plataformas;año_lanzamiento;generos;modos_juego;perspectiva;rating_usuarios;votos_usuarios;rating_expertos;categoria_igdb
Grand Theft Auto V;PlayStation 3, PlayStation 4, PC (Microsoft Windows), Xbox 360, Xbox One;2013;Shooter, Racing, Adventure;Single player, Multiplayer, Co-operative;First person, Third person;89.68;5591;88.14;Juego Principal
The Witcher 3: Wild Hunt;Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch;2015;Role-playing (RPG), Adventure;Single player;Third person;93.89;5153;91.73;Juego Principal
Portal 2;PlayStation 3, Linux, PC (Microsoft Windows), Mac, Xbox 360, Nintendo Switch;2011;Platform, Puzzle, Adventure;Single player, Multiplayer, Co-operative, Split screen;First person;91.29;4248;92.44;Juego Principal
The Elder Scrolls V: Skyrim;PlayStation 3, PC (Microsoft Windows), Xbox 360;2011;Role-playing (RPG), Adventure;Single player;First person, Third person;87.69;4141;79.92;Juego Principal
Grand Theft Auto: San Andreas;Xbox, PlayStation 3, PlayStation 4, Android, PC (Microsoft Windows), iOS, Mac, Xbox 360, PlayStation 2;2004;Shooter, Racing, Adventure;Single player, Co-operative;First person, Third person;90.16;3838;93.14;Juego Principal
Portal;PlayStation 3, Linux, Android, PC (Microsoft Windows), Mac, Xbox 360, Nintendo Switch;2007;Platform, Puzzle, Adventure;Single player;First person;86.45;3834;80;Juego Principal
Red Dead Redemption 2;Google Stadia, PlayStation 4, PC (Microsoft Windows), Xbox One;2018;Shooter, Role-playing (RPG), Adventure;Single player, Multiplayer, Co-operative;First person, Third person;93.22;3467;94.06;Juego Principal
The Last of Us;PlayStation 3;2013;Shooter, Adventure;Single player, Multiplayer;Third person;93.01;3345;91.54;Juego Principal
God of War;PlayStation 4, PC (Microsoft Windows);2018;Role-playing (RPG), Hack and slash/Beat 'em up, Adventure;Single player;Third person;92.15;3304;96.23;Juego Principal
Half-Life 2;Xbox, PlayStation 3, Linux, Android, PC (Microsoft Windows), Mac, Xbox 360;2004;Shooter;Single player;First person;90.42;3289;79.12;Juego Principal
BioShock;PC (Microsoft Windows), Mac, Xbox 360;2007;Shooter, Puzzle, Role-playing (RPG), Adventure;Single player;First person;86.66;3082;92.62;Juego Principal
Assassin's Creed II;PlayStation 3, PC (Microsoft Windows), iOS, Mac, Xbox 360;2009;Platform, Adventure;Single player;Third person;86.67;3074;90.25;Juego Principal
Grand Theft Auto: Vice City;Xbox, PC (Microsoft Windows), Mac, PlayStation 2;2002;Shooter, Racing, Adventure, Arcade;Single player;Third person;87.43;2998;94;Juego Principal
Half-Life;Linux, PC (Microsoft Windows), Mac, PlayStation 2;1998;Shooter, Puzzle, Adventure;Single player, Multiplayer;First person;88.49;2794;80;Juego Principal
The Legend of Zelda: Breath of the Wild;Wii U, Nintendo Switch;2017;Puzzle, Adventure;Single player;Third person;92.56;2792;97.59;Juego Principal
